Respondents,1Q1,1Q2,1Q3,2Q1,2Q2,2Q3,3Q1,3Q2,3Q3,4Q1,4Q2,4Q3,5Q1,5Q2,5Q3,6Q1,6Q2,6Q3
1,7,6,7,6,3,5,6,7,7,5,5,7,3,7,6,5,7,6
2,6,7,7,5,5,7,5,6,6,7,6,7,5,7,6,3,6,5
3,5,7,6,7,6,7,7,5,5,7,7,6,6,6,3,3,5,3
4,7,6,5,7,7,6,7,3,7,6,6,6,7,6,4,5,7,5
5,7,5,7,6,6,6,6,5,7,6,7,3,6,3,7,6,7,6
6,6,3,7,6,7,3,6,6,6,3,7,4,7,7,7,7,6,7
7,6,5,6,3,7,4,3,7,6,4,6,7,7,7,6,6,6,6
8,3,6,6,4,6,7,4,6,3,7,5,7,6,6,5,7,3,7
9,4,7,3,7,5,7,7,7,7,7,3,6,5,5,7,7,4,7
10,7,6,4,7,3,6,7,7,7,6,3,5,3,7,7,6,7,6
11,7,7,7,6,3,5,6,6,6,5,5,7,5,7,6,5,7,5
12,6,7,7,5,5,7,5,5,5,7,6,7,6,6,6,5,7,6
13,5,6,6,7,6,7,7,3,7,7,7,6,7,6,3,3,6,5
14,7,5,5,7,7,6,7,5,7,6,6,6,6,3,4,3,5,3
15,7,3,7,6,6,6,6,6,6,6,7,3,7,4,7,5,7,5
16,6,5,7,6,7,3,6,7,6,3,7,4,7,7,7,6,7,6
17,6,6,6,3,7,4,3,6,3,4,6,7,6,7,6,7,6,7
18,3,7,6,4,6,7,4,7,4,7,5,7,5,6,5,6,6,6
19,4,6,3,7,5,7,7,7,7,7,3,6,3,5,7,7,3,7
20,7,7,7,7,3,6,7,6,7,6,3,5,5,7,7,7,4,7
21,7,7,7,6,3,5,6,5,6,5,5,7,6,7,6,6,7,6
22,6,6,6,5,5,7,5,3,5,7,6,7,7,6,6,5,7,5
23,5,5,5,7,6,7,7,5,7,7,7,6,6,6,3,5,7,6
24,7,3,7,7,7,6,7,6,7,6,6,6,7,3,4,3,6,5
25,7,5,7,6,6,6,6,7,6,6,7,3,7,7,5,3,5,3
26,6,6,6,6,7,3,6,6,6,3,7,4,6,6,7,5,7,5
27,6,7,6,3,7,4,3,7,3,4,6,7,5,5,7,6,7,6
28,3,6,3,4,6,7,6,7,7,5,5,7,3,7,6,7,6,7
29,4,7,4,7,5,7,5,6,6,7,6,7,5,7,6,6,6,6
30,7,7,7,7,3,6,7,5,5,7,7,6,6,6,3,7,3,7
31,7,6,7,6,3,5,7,3,7,6,6,6,7,6,4,7,4,7
32,6,5,6,5,5,7,6,5,7,6,7,3,6,3,7,6,7,6
33,5,3,5,7,6,7,6,6,6,3,7,4,7,7,7,5,7,5
34,7,5,7,7,7,6,3,7,6,4,6,7,7,7,6,5,7,6
35,7,6,7,6,6,6,4,6,3,7,5,7,6,6,5,3,6,5
36,6,7,6,6,7,3,7,7,7,7,3,6,5,5,7,3,5,3
37,6,6,6,3,7,4,7,7,7,6,3,5,3,7,7,5,7,5
38,3,7,3,4,6,7,6,6,6,5,5,7,5,7,6,6,7,6
39,4,7,7,7,5,7,5,5,5,7,6,7,6,6,6,7,6,7
40,7,6,7,7,3,6,7,3,7,7,7,6,7,6,3,6,6,6
41,7,5,6,6,3,5,7,5,7,6,6,6,6,3,4,7,3,7
42,6,3,5,5,5,7,6,6,6,6,7,3,7,7,3,7,4,7
43,5,5,7,7,6,7,6,7,6,3,7,4,7,6,3,6,7,6
44,7,6,7,7,7,6,3,6,3,4,6,7,6,5,5,5,7,5
45,7,7,6,6,6,6,4,7,4,7,5,7,5,7,6,5,7,6
46,6,6,6,6,7,3,7,7,7,7,3,6,7,7,7,3,6,5
47,6,7,3,3,7,4,7,6,7,6,3,5,7,6,6,3,5,3
48,3,7,4,4,6,7,6,5,6,5,5,7,6,6,7,5,7,5
49,4,6,7,7,5,7,5,3,5,7,6,7,6,3,7,6,7,6
50,7,5,7,7,3,6,7,5,7,7,7,6,3,4,6,7,6,7
51,7,3,6,6,3,5,7,6,7,6,6,6,7,7,3,6,6,6
52,6,5,5,5,5,7,6,7,6,6,7,3,7,6,3,7,3,7
53,5,6,7,7,6,7,6,6,6,3,7,4,6,5,5,7,4,7
54,7,7,7,7,7,6,3,7,3,4,6,7,5,7,6,6,7,6
